target,track,fold,k_star,features
sdq_cond,reg,5,20,uaX_min;uaX_bp_mf;uaY_max;uaMag_max;gyX_min;roll_median;jerk_min;jerk_max;stl_bout_median_w1_p80;stl_bout_cv_w1_p80;act_bout_median_w2_p30;stl_bout_median_w2_p60;stl_bout_cv_w2_p80;stl_bout_cv_w5_p80;act_bout_cv_w5_p90;stl_bout_cv_w10_p40;stl_bout_cv_w10_p50;stl_bout_cv_w10_p60;stl_bout_cv_w10_p70;stl_bout_cv_w10_p80
sdq_cond,reg,6,7,uaY_max;jerk_min;jerk_max;stl_bout_median_w1_p80;act_bout_median_w2_p30;stl_bout_cv_w10_p60;stl_bout_cv_w10_p70
sdq_cond,reg,7,7,uaX_bp_mf;uaY_max;uaMag_max;jerk_min;jerk_max;act_bout_median_w2_p30;stl_bout_cv_w10_p70
sdq_cond,reg,8,5,uaY_max;jerk_min;jerk_max;act_bout_median_w2_p30;stl_bout_cv_w10_p70
sdq_cond,reg,9,10,uaX_bp_mf;uaY_max;uaY_range;uaMag_max;gyX_min;jerk_min;jerk_max;stl_bout_median_w1_p80;act_bout_median_w2_p30;stl_bout_cv_w10_p70
sdq_cond,reg,10,5,uaY_max;uaMag_max;jerk_min;jerk_max;act_bout_median_w2_p30
sdq_cond,reg,11,16,uaX_range;uaX_bp_mf;uaY_max;uaMag_max;gyX_bp_hf;jerk_min;jerk_max;jerk_spread;stl_bout_median_w1_p60;act_bout_median_w2_p30;stl_bout_median_w2_p60;act_bout_median_w10_p10;stl_bout_cv_w10_p40;stl_bout_cv_w10_p50;stl_bout_cv_w10_p60;stl_bout_cv_w10_p70
sdq_cond,reg,12,1,uaY_max
sdq_cond,reg,13,8,uaY_max;jerk_min;jerk_max;act_bout_median_w2_p30;stl_bout_cv_w5_p80;stl_bout_cv_w10_p50;stl_bout_cv_w10_p60;stl_bout_cv_w10_p70
sdq_cond,reg,14,7,uaY_max;jerk_min;jerk_max;stl_bout_median_w1_p80;act_bout_median_w2_p30;stl_bout_cv_w5_p80;stl_bout_cv_w10_p70
sdq_cond,reg,15,2,gyX_min;stl_bout_cv_w10_p70
sdq_cond,reg,16,16,uaX_bp_mf;uaY_max;uaMag_max;jerk_min;jerk_max;stl_bout_median_w1_p80;stl_bout_cv_w1_p80;act_bout_median_w2_p30;stl_bout_median_w2_p60;stl_bout_cv_w2_p80;stl_bout_cv_w5_p80;act_bout_cv_w5_p90;stl_bout_cv_w10_p50;stl_bout_cv_w10_p60;act_bout_median_w10_p70;stl_bout_cv_w10_p70
sdq_cond,reg,17,5,uaY_max;jerk_min;jerk_max;act_bout_median_w2_p30;stl_bout_cv_w10_p70
sdq_cond,reg,18,6,uaY_max;jerk_min;jerk_max;stl_bout_median_w1_p80;act_bout_median_w2_p30;stl_bout_cv_w10_p70
sdq_cond,reg,19,18,uaX_bp_mf;uaY_max;uaMag_max;gyX_min;jerk_min;jerk_max;stl_bout_cv_w0.5_p80;stl_bout_median_w1_p80;stl_bout_cv_w1_p80;act_bout_median_w2_p30;stl_bout_cv_w2_p70;stl_bout_cv_w2_p80;stl_bout_cv_w5_p60;stl_bout_cv_w5_p80;act_bout_cv_w5_p90;stl_bout_cv_w10_p50;stl_bout_cv_w10_p60;stl_bout_cv_w10_p70
sdq_cond,reg,20,5,uaY_max;jerk_min;jerk_max;act_bout_median_w2_p30;stl_bout_cv_w10_p70
