target,type,feature,rho,perm_p,loo_r2cv,loo_rmse,loo_mae,rho_partial_uamag,q_fdr
sdq_totdiff,cont,uaX_bp_mf,-0.12357887817274754,0.56343,-0.035634488282259014,3.3763605044047558,2.8132409040870106,,0.9752624000000002
sdq_totdiff,cont,uaX_bp_hf,0.013193474538015752,0.94963,-0.0583086073061867,3.413121300786518,2.6952127094664884,,0.985218064516129
sdq_totdiff,cont,uaY_mean,-0.1754732113556095,0.41000000000000003,-0.056505710802208675,3.4102128261812568,2.807265110382536,,0.9752624000000002
sdq_totdiff,cont,uaY_std,-0.18866668589362526,0.37438000000000005,-0.015056990833183459,3.3426489777301858,2.6284376474517237,,0.9752624000000002
sdq_totdiff,cont,uaY_var,-0.18866668589362526,0.37438000000000005,-0.016517802146718497,3.3450533865099645,2.6417271497998747,,0.9752624000000002
sdq_totdiff,cont,uaY_rms,-0.20273972540084206,0.34002,-0.01353901908733901,3.340148652540653,2.6284005065478606,,0.9752624000000002
sdq_totdiff,cont,uaY_min,0.0892758443739066,0.67448,-0.06749677514376651,3.42790553193131,2.68565614515679,,0.9803723636363636
sdq_totdiff,cont,uaY_max,-0.2757436178445292,0.19157000000000002,0.07744064046688548,3.1867112873679697,2.6912572443633196,,0.9752624000000002
sdq_totdiff,cont,uaY_range,-0.2717855754831245,0.19835999999999998,0.025541157013917126,3.2751206972688145,2.648009827680037,,0.9752624000000002
sdq_totdiff,cont,uaY_median,-0.08135975965109714,0.7020500000000001,-0.03462966141080792,3.374722145923071,2.68048427657367,,0.9803723636363636
sdq_totdiff,cont,uaY_iqr,-0.13809170016456487,0.51754,-0.06836625117733175,3.429301262167333,2.6471998562361847,,0.9752624000000002
sdq_totdiff,cont,uaY_mad,-0.17327429893260687,0.41605000000000003,-0.07029665555046849,3.432398023457855,2.641692020124433,,0.9752624000000002
sdq_totdiff,cont,uaY_skew,-0.009675214661211552,0.96321,-0.13182974140268744,3.5296863053738585,2.7726621632360104,,0.9875745025295108
sdq_totdiff,cont,uaY_kurt,-0.157442129486988,0.46124,-0.11297388083391868,3.500161192101258,2.7651874579777975,,0.9752624000000002
sdq_totdiff,cont,uaY_zcr,0.03650194622184358,0.86341,-0.09861382189262202,3.477507604543969,2.7277056172756695,,0.985218064516129
sdq_totdiff,cont,uaY_madiff,-0.22340950217706673,0.29308,0.0028060286218749564,3.313106382871612,2.5952959563496725,,0.9752624000000002
sdq_totdiff,cont,uaY_domfreq,0.2902564398363465,0.16932000000000003,0.005104752301899995,3.309285506282407,2.7314009077506043,,0.9752624000000002
sdq_totdiff,cont,uaY_centroid,0.14424865494897224,0.49917,-0.04722137098609491,3.3951956613612615,2.69193053515572,,0.9752624000000002
sdq_totdiff,cont,uaY_spread,-0.050574985729060384,0.81192,-0.05633378313875226,3.4099353389079092,2.7628999640462646,,0.985218064516129
sdq_totdiff,cont,uaY_entropy,0.02858586149903413,0.89237,-0.07102178465162057,3.433560556414848,2.6963200588505134,,0.985218064516129
sdq_totdiff,cont,uaY_bp_lf,0.18998603334742684,0.37115,-0.06803197272827322,3.4287647274401163,2.803279601283293,,0.9752624000000002
sdq_totdiff,cont,uaY_bp_mf,0.049255638275258806,0.817,-0.060475876181534494,3.416614312324093,2.6918062003526466,,0.985218064516129
sdq_totdiff,cont,uaY_bp_hf,-0.014073039507216802,0.94653,-0.06259207848796855,3.4200215768439732,2.7035186926221666,,0.985218064516129
sdq_totdiff,cont,uaZ_mean,-0.32543903860438855,0.12097999999999998,0.015991644850835818,3.291129353809105,2.5314131192887244,,0.9752624000000002
sdq_totdiff,cont,uaZ_std,-0.18558820850142158,0.38319000000000003,-0.040520112942621145,3.3843151551399284,2.6870206911001007,,0.9752624000000002
sdq_totdiff,cont,uaZ_var,-0.18558820850142158,0.38319000000000003,-0.038803301726623385,3.3815220189102027,2.6972450879850474,,0.9752624000000002
sdq_totdiff,cont,uaZ_rms,-0.18163016614001687,0.39385000000000003,-0.03447979792903233,3.374477727101019,2.6746244411792723,,0.9752624000000002
sdq_totdiff,cont,uaZ_min,-0.04485781342925356,0.83343,-0.07209793167112966,3.435285119025781,2.7120040289595644,,0.985218064516129
sdq_totdiff,cont,uaZ_max,-0.18163016614001687,0.39385000000000003,-0.03781661919068213,3.379915708378194,2.7342305991239706,,0.9752624000000002
sdq_totdiff,cont,uaZ_range,0.04661694336765566,0.82694,-0.054677265331848135,3.4072605996610466,2.752322842870985,,0.985218064516129
sdq_totdiff,cont,uaZ_median,-0.19130538080122841,0.36793,-0.05970596866545996,3.4153738528738096,2.6493619313826264,,0.9752624000000002
sdq_totdiff,cont,uaZ_iqr,-0.14160996004136908,0.50691,-0.06255135076777996,3.419956033810404,2.652037447037511,,0.9752624000000002
