target,d,f1,acc,bacc
sdq_totdiff__qbin,8,0.5555555555555556,0.5833333333333334,0.5555555555555556
sdq_totdiff__qbin,9,0.4079696394686907,0.4583333333333333,0.4111111111111111
sdq_totdiff__qbin,10,0.4079696394686907,0.4583333333333333,0.4111111111111111
sdq_totdiff__qbin,11,0.4079696394686907,0.4583333333333333,0.4111111111111111
sdq_totdiff__qbin,12,0.34375,0.4166666666666667,0.3555555555555555
sdq_totdiff__qbin,13,0.34375,0.4166666666666667,0.3555555555555555
sdq_totdiff__qbin,14,0.3696969696969697,0.4583333333333333,0.38888888888888884
sdq_totdiff__qbin,15,0.3696969696969697,0.4583333333333333,0.38888888888888884
sdq_totdiff__qbin,16,0.3696969696969697,0.4583333333333333,0.38888888888888884
sdq_totdiff__qbin,17,0.4375,0.5,0.4444444444444444
sdq_totdiff__qbin,18,0.3696969696969697,0.4583333333333333,0.38888888888888884
sdq_totdiff__qbin,19,0.3696969696969697,0.4583333333333333,0.38888888888888884
sdq_totdiff__qbin,20,0.3696969696969697,0.4583333333333333,0.38888888888888884
